project_id,name,description,responsible_group,responsible_employee,total_budget,funding_source,type,start_date,end_date
4027,AI for Personalized Learning in Higher Education,"Creates a recommendation engine that personalizes course materials and exercises for each student. The system uses behavior analytics from online platforms and feedback from instructors, co-developed with Cegeka and UCLL’s Digital Education research group.",4,1078,389030.5,CONTRACT,Talk,2025-01-31,2026-09-16
4028,Green IT Infrastructure Optimization,Optimizes energy usage in data centers and university servers by introducing AI-based cooling management and resource allocation systems. The project partners with Cronos Groep and GreenPower Antwerp to achieve carbon neutrality targets by 2030.,5,1099,531864.68,Other Government,Talk,2025-04-05,2027-03-04
4029,Smart Water Quality Monitoring,Implements IoT sensors across rivers and urban water systems to detect contaminants and microplastics. The data is analyzed in real time using AI algorithms developed by UCLL’s Environmental Tech Lab and partners from VITO.,3,1095,195080.95,PWO,Research,2023-12-26,2026-01-17
4030,Cybersecurity in Healthcare Systems,Analyzes vulnerabilities in electronic health record systems and proposes encryption-based security frameworks. Collaboration with ZorgConnect Vlaanderen ensures the implementation of privacy-preserving standards in hospital IT infrastructures.,9,1017,554295.28,Other Government,Talk,2024-01-03,2026-08-04
4031,AI for Predictive Student Success,"Uses historical academic data to predict student performance and risk of dropout. The system generates early alerts and recommends personalized interventions, piloted at UCLL campuses in collaboration with the Education department.",8,1010,452422.35,CONTRACT,Research,2025-03-13,2027-02-05
4032,Autonomous Drones for Infrastructure Inspection,Develops autonomous drones equipped with AI-based image recognition for inspecting bridges and buildings. This technology helps detect structural defects early and supports sustainable maintenance planning with DEM Group and Fluxys.,1,1023,149354.72,TETRA,Services,2023-12-02,2027-05-19
4033,Voice AI for Accessibility in Education,"Builds speech-to-text and text-to-speech tools to assist students with disabilities. The project enhances inclusivity in classrooms and e-learning environments, in collaboration with Telenet and UCLL’s Accessibility Lab.",2,1085,440477.04,CONTRACT,Talk,2025-01-12,2025-10-10
4034,AI for Circular Economy Decision-Making,"Designs decision-support models for companies adopting circular business practices. By simulating material reuse and waste flow data, the project helps organizations like Umicore and Katoen Natie make sustainable strategic choices.",7,1093,459618.29,CONTRACT,Training,2025-02-19,2026-05-16
4035,Digital Health Coaching Assistant,Combines AI chatbots and wearable data to guide patients in lifestyle improvement programs. Collaboration with UCB Pharma and CM ensures practical deployment in chronic disease management and rehabilitation contexts.,10,1058,569314.57,TETRA,Talk,2025-06-12,2027-02-10
4036,AI-Based Air Quality Prediction,Applies deep learning models to predict air pollution trends in Flemish cities using satellite and local sensor data. The project supports municipal planning and public health efforts in collaboration with VITO.,3,1004,225116.19,CONTRACT,Talk,2024-08-13,2026-04-04
4037,Smart Grid Energy Sharing,"Develops a blockchain-based system for peer-to-peer energy trading between households using solar panels. In partnership with Luminus and Elia, the project contributes to a decentralized and transparent renewable energy ecosystem.",5,1076,323963.59,TETRA,Talk,2025-08-09,2026-07-04
4038,AI for Urban Noise Reduction,Uses data from urban microphones and environmental sensors to identify noise pollution sources and propose mitigation strategies. This research supports city planners in designing healthier urban spaces.,4,1048,370705.11,TETRA,Research,2024-07-16,2025-10-13
4039,Next-Gen Educational Game Design,"Explores the use of gamification and virtual reality in STEM education. The project integrates game-based learning frameworks into UCLL’s teacher training curriculum, fostering motivation and engagement in students.",7,1099,439579.56,CONTRACT,Services,2024-11-03,2026-01-27
4040,Digital Inclusion for the Elderly,Develops training tools and simplified user interfaces to enhance digital literacy among older adults. The project partners with CM and local community centers to reduce digital inequality across Flanders.,6,1082,580581.07,CONTRACT,Talk,2024-06-17,2027-05-14
4041,AI for Smart Waste Management,"Designs a computer vision system that automates waste sorting in recycling facilities. The system increases efficiency and material recovery rates, with pilot projects in partnership with Etex Group and VITO.",6,1043,491160.0,TETRA,Training,2025-04-21,2027-08-11
4042,Sustainable Battery Research,Explores new lithium-free battery materials and recycling methods. The project partners with Umicore and Duracell Aarschot to develop sustainable and safe battery solutions for electric vehicles.,4,1052,162810.25,Other Government,Services,2024-10-06,2027-05-05
4043,Adaptive e-Learning Framework,Builds a modular platform for online education that dynamically adapts content based on learner behavior. Collaboration with Cegeka and UCLL’s education researchers ensures integration into real-world classrooms.,7,1096,353452.36,TETRA,Services,2024-01-31,2026-10-17
4044,Smart Sensors for Indoor Climate Control,"Integrates IoT sensors and AI algorithms to monitor air quality, humidity, and CO2 in classrooms and offices. The system supports sustainable building management, developed with Daikin Europe.",4,1078,547527.48,PWO,Talk,2025-10-05,2026-01-01
4045,AI for Road Safety Analytics,Develops image recognition systems to detect traffic violations and risky driver behavior. Data from smart cameras help municipalities improve road safety and reduce accidents.,3,1040,155996.14,Other Government,Research,2024-02-03,2026-10-09
4046,Sustainable Food Packaging Innovation,"Researches biodegradable and recyclable packaging materials for the food industry. Collaboration with Vandemoortele and VITO aims to create practical, low-impact alternatives for large-scale production.",10,1097,487250.32,TETRA,Research,2024-06-12,2026-07-10
4047,AI-Enabled Circular Manufacturing,Combines AI-driven material tracking with lifecycle analysis to optimize circular production systems. The project collaborates with ArcelorMittal Belgium and Umicore for industrial validation.,2,1062,328975.82,Other Government,Talk,2025-09-01,2026-11-17
4048,Smart Campus Energy Dashboard,"Builds an interactive dashboard visualizing real-time energy usage across UCLL buildings. The project promotes energy awareness among students and staff, powered by data from IoT devices.",2,1031,325841.85,CONTRACT,Services,2025-04-06,2026-10-03
4049,AI for Early Disease Detection,Develops image recognition algorithms for early detection of diabetic retinopathy and skin cancer. The system is tested in collaboration with local hospitals and UCB Pharma.,7,1072,405413.03,Other Government,Research,2023-12-15,2026-12-16
4050,Virtual Reality for Vocational Training,"Creates immersive training environments for technical professions. The project allows students to practice complex operations safely through VR simulations, with input from industry experts and educators.",5,1099,255709.54,PWO,Training,2025-08-07,2027-01-23
